Systematic Name,TPM Glucose,TPM YEP,TPM Galactose,TPM Glucose_2,TPM YEP_2,TPM Galactose_2
YNL150W,41.5922,29.7198,22.6849,38.2152,20.8038,21.1237
YNL151C,70.6761,41.7415,45.9938,63.8697,37.0713,44.3367
YNL152W,12.6547,10.7716,10.8497,13.0466,12.3813,12.7307
YNL153C,135.694,59.5545,80.9862,133.719,52.1917,75.6286
YNL154C,54.654,39.6592,41.6186,57.3834,42.5089,50.522
YNL155W,30.6423,20.856,18.7614,37.2845,27.4217,23.597
YNL156C,39.4057,39.6832,33.9167,40.3722,49.251,43.1722
YNL157W,62.717,89.7191,67.4207,69.518,84.2514,75.9877
YNL158W,17.3949,18.1281,14.1919,19.0188,19.459,17.4133
YNL159C,10.1106,11.8729,8.97845,12.0846,14.9115,13.8615
YNL160W,16.2088,103.133,28.9674,31.5669,158.592,77.5378
YNL161W,13.6738,12.5612,11.7601,13.919,13.266,13.4298
YNL162W,2300.95,1209.45,1504.67,2265.03,884.747,1435.15
YNL162W-A,129.055,46.3804,58.0863,101.427,31.9228,50.0704
YNL163C,15.8421,12.159,12.0323,16.1785,10.3624,16.716
YNL164C,13.4542,11.6113,10.663,12.3675,10.6381,11.0697
YNL165W,8.54245,10.6035,7.5829,8.58556,11.5248,10.4914
YNL166C,24.0258,19.3711,18.6158,24.561,19.5647,19.8069
YNL167C,11.2666,9.59084,10.1905,11.2604,7.76573,11.526
YNL168C,36.9191,40.4176,30.3246,34.0434,42.7754,35.3921
YNL169C,19.6737,21.8766,17.5724,18.8514,23.7405,17.5959
YNL170W,12.6804,11.8243,8.43677,7.61856,8.28025,7.62599
YNL171C,4.94831,8.20455,6.36195,5.23006,5.49111,6.5354
YNL172W,2.27288,2.28252,2.02613,2.47101,2.98801,2.62926
YNL173C,14.6358,51.896,32.4653,14.6714,70.784,43.254
YNL174W,28.9423,14.8757,21.1452,38.436,18.6933,21.7799
YNL175C,85.3373,49.4579,55.1685,69.7959,33.9336,46.9766
YNL176C,14.5439,17.4715,13.529,13.337,14.9538,15.5788
YNL177C,27.9774,62.7025,60.4061,26.4779,87.7661,61.4861
YNL178W,1901.36,1121.66,1236.38,1810.15,971.199,1223.67
YNL179C,6.74366,8.02256,6.20325,8.60554,11.6842,10.7043
YNL180C,30.1989,41.984,29.3364,36.1061,59.3552,46.2026
YNL181W,16.714,17.6349,15.2957,17.4462,20.5467,15.9714
YNL182C,51.1084,23.2577,29.0059,43.2229,19.5009,29.1994
YNL183C,11.1452,11.8833,9.38832,10.1588,13.9613,11.2248
YNL184C,9.34197,21.4156,19.6549,9.92783,22.5623,19.0917
YNL185C,39.5574,72.6206,74.5382,31.3285,85.7879,66.3769
YNL186W,32.8445,28.308,29.9607,33.2971,28.1887,35.2643
YNL187W,4.90048,5.62899,5.41301,5.82987,5.67389,6.84804
YNL188W,14.5277,12.9665,11.9222,13.207,14.1113,13.252
YNL189W,67.9192,48.1134,48.3499,70.637,53.4893,56.5547
YNL190W,208.905,151.935,146.775,282.385,127.424,200.843
YNL191W,15.1785,8.19935,7.96302,17.9946,9.48397,8.81646
YNL192W,21.0537,18.6515,13.2462,51.6717,22.3541,20.3287
YNL193W,5.11295,3.99611,4.3561,6.31489,4.43451,6.12789
YNL194C,2.11775,2.47249,2.42529,2.59957,5.50275,3.82626
YNL195C,3.32505,7.34888,2.61971,3.35038,11.1505,3.02457
YNL196C,1.94608,2.15897,1.82456,1.83106,2.10739,1.73049
YNL197C,21.1216,17.1798,19.5652,22.7988,17.078,23.6759
YNL198C,4.38217,3.19177,3.58804,4.9699,5.53575,5.23437
YNL199C,17.2293,15.7449,15.3286,15.594,16.0457,18.1025
YNL200C,5.31787,26.2914,13.7076,6.46971,36.9181,32.2221
